metric,group,direction,plain_description,paper_formula,notes
tc,Wysiłek,lower_better,"Całkowity znormalizowany wysiłek ścieżki, czyli suma ważonych zmian między kolejnymi punktami wszystkich etapów.",TC(pi),"Pipeline używa równych wag czynników i obserwowanych zakresów z danych referencyjnych; samodzielny renderer bez danych wejściowych używa zakresów z paths.csv."
msc,Wysiłek,lower_better,"Największy wysiłek pojedynczego etapu; pokazuje najtrudniejszy krok.",MSC(pi),"Przydatne, gdy chcemy unikać gwałtownych zmian w jednym etapie."
cdir,Wysiłek,lower_better,"Znormalizowany wysiłek bezpośredniego przejścia od stanu początkowego do końcowego.",Cdir,"Mianownik dla DR."
dr,Wysiłek,lower_better,"Relatywny objazd ścieżki etapowej względem ruchu bezpośredniego.",DR(pi)=TC(pi)/Cdir,"Wartość bliska 1 oznacza, że etapowanie nie zwiększa istotnie całkowitego wysiłku."
md,Kamienie milowe,lower_better,"Średnie odchylenie od zaplanowanych milestone'ów.",MDg(pi),"Odpowiada kolumnie mean_milestone_gap."
bp,Równomierność,lower_better,"Nieważona równomierność zmian w etapach; karze nierówny rozkład całkowitej zmiany danego czynnika.",BP(pi),"Zero oznacza, że każdy aktywny czynnik zmienia się równo w etapach."
wbp,Równomierność,lower_better,"Równomierność zmian z wagami czynników.",WBP(pi),"Obecnie używane są równe wagi czynników."
sbp,Równomierność,lower_better,"Równomierność zmian z wagami etapów.",SBP(pi),"Obecnie używane są równe wagi etapów."
swbp,Równomierność,lower_better,"Równomierność zmian z wagami czynników i etapów jednocześnie.",SWBP(pi),"Przy równych wagach jest porównywalna z BP."
mcp,Równomierność,lower_better,"Największy udział jednego etapu w całkowitej zmianie dowolnego czynnika.",MCP(pi),"Wartość bliska 1 oznacza, że jeden etap przejmuje prawie całą zmianę któregoś czynnika."
pyv,Postęp,lower_better,"Zmienność postępu uzyskanego z jednostki wysiłku w kolejnych etapach.",PYV(pi),"Kolumna ogólna używa pierwszego dostępnego wskaźnika postępu; warianty szczegółowe są w CSV."
pym,Postęp,higher_better,"Najgorszy etapowy postęp na jednostkę wysiłku.",PYM(pi),"Wyższa wartość oznacza, że nawet najsłabszy etap daje sensowny postęp."
apw,Robustność,lower_better,"Średnia szerokość przedziału robustności na ścieżce.",APW(pi),"Kolumna ogólna używa pierwszej dostępnej szerokości; warianty score/rank są w CSV."
fw,Robustność,lower_better,"Końcowa szerokość przedziału robustności.",FW(pi),"Mierzy stabilność końcowej rekomendacji."
ww,Robustność,lower_better,"Ważona szerokość robustności na ścieżce.",WW(pi),"Obecnie używane są równe wagi etapów."
pc,Ciągłość benchmarków,lower_better,"Nieciągłość zbiorów peer/reference między kolejnymi etapami.",PC(pi),"Najpierw używa peer_refs/peer_set/reference_set, jeśli istnieją; robust-reference z Javy jest wariantem pomocniczym."
opp,Profil operacyjny,lower_better,"Odległość L1 między strukturą input/output w etapach a strukturą początkową.",OPP(pi),"Mała wartość oznacza, że jednostka zachowuje podobny profil działalności."
rr,Rzeczywistość ścieżki,higher_better,"Udział etapów po starcie, które odpowiadają realnym obserwowanym jednostkom.",RR(pi),"1 oznacza, że wszystkie etapy po starcie są realne; 0 oznacza same punkty fictive."
